Rep,Group,PopSpecies,PhenotypeSpecies,PhenotypeCageSpecies,PopNumber,X11.Feb,X12.Feb,X13.Feb,X14.Feb,X15.Feb,X16.Feb,X17.Feb,X18.Feb,X19.Feb,X20.Feb,numFlies
B3.BX,1,B,B,B,3,NA,NA,3,8,2,0,0,NA,NA,NA,13
B3.BY,1,B,B,B,3,NA,NA,1,2,2,0,0,NA,NA,NA,5
B3.MX,1,B,T,M,3,NA,NA,0,2,6,9,2,0,NA,NA,19
B3.MY,1,B,B,M,3,NA,1,2,2,0,0,0,NA,NA,NA,5
B3.TX,1,B,T,T,3,NA,NA,0,0,4,2,1,0,NA,NA,7
B3.TY,1,B,T,T,3,NA,NA,0,0,2,2,1,2,NA,NA,7
B4.BX,1,B,B,B,4,NA,NA,4,12,4,5,2,NA,NA,NA,27
B4.BY,1,B,B,B,4,NA,1,3,3,2,1,1,0,NA,NA,11
B4.MX,1,B,B,M,4,NA,NA,0,0,2,0,0,NA,NA,NA,2
B4.MY,1,B,B,M,4,NA,1,5,9,8,3,0,NA,NA,NA,26
B4.TX,1,B,T,T,4,NA,NA,0,0,0,2,3,0,NA,NA,5
B4.TY,1,B,T,T,4,NA,NA,0,0,0,0,0,2,NA,NA,2
M3.BX,1,M,B,B,3,NA,1,2,0,1,0,0,NA,NA,NA,4
M3.BY,1,M,B,B,3,NA,3,4,2,0,1,0,NA,NA,NA,10
M3.MX,1,M,T,M,3,NA,NA,0,0,3,7,6,3,1,NA,20
M3.MY,1,M,T,M,3,NA,NA,0,1,5,7,5,1,2,NA,21
M3.TX,1,M,T,T,3,NA,NA,0,1,3,5,4,0,1,NA,14
M3.TY,1,M,T,T,3,NA,NA,0,2,9,8,5,3,1,NA,28
M4.BX,1,M,B,B,4,NA,2,7,11,7,2,2,0,NA,NA,31
M4.BY,1,M,B,B,4,NA,3,7,12,0,1,0,NA,NA,NA,23
M4.MX,1,M,B,M,4,NA,1,0,0,2,0,1,NA,NA,NA,4
M4.MY,1,M,T,M,4,NA,NA,0,0,4,6,8,0,2,NA,20
M4.TX,1,M,T,T,4,NA,NA,0,0,1,6,3,0,2,NA,12
M4.TY,1,M,T,T,4,NA,NA,0,0,1,1,2,0,NA,NA,4
T3.BX,1,T,B,B,3,NA,NA,1,0,1,0,0,NA,NA,NA,2
T3.BY,1,T,B,B,3,NA,2,3,3,3,1,0,NA,NA,NA,12
T3.MX,1,T,T,M,3,NA,NA,0,0,3,8,3,0,NA,NA,14
T3.MY,1,T,T,M,3,NA,NA,0,0,8,5,9,5,2,1,30
T3.TX,1,T,T,T,3,NA,NA,0,0,2,4,2,0,1,NA,9
T3.TY,1,T,T,T,3,NA,NA,0,0,5,6,4,7,NA,NA,22
T4.BX,1,T,B,B,4,NA,5,12,4,2,0,0,NA,NA,NA,23
T4.BY,1,T,B,B,4,NA,1,4,4,2,0,0,NA,NA,NA,11
T4.MX,1,T,B,M,4,NA,1,11,6,1,0,0,NA,NA,NA,19
T4.MY,1,T,B,M,4,NA,NA,0,2,2,0,0,NA,NA,NA,4
T4.TX,1,T,T,T,4,NA,NA,0,1,14,18,6,0,1,NA,40
T4.TY,1,T,T,T,4,NA,NA,1,0,9,3,4,0,NA,NA,17
B3.BX,2,B,B,B,3,NA,1,15,10,3,0,0,NA,NA,NA,29
B3.BY,2,B,B,B,3,NA,2,4,6,6,4,2,0,NA,NA,24
B3.MX,2,B,B,M,3,NA,NA,3,4,2,2,1,0,NA,NA,12
B3.MY,2,B,T,M,3,NA,NA,0,0,7,9,8,1,3,NA,28
B3.TX,2,B,T,T,3,NA,NA,2,2,5,7,8,2,2,NA,28
B3.TY,2,B,T,T,3,NA,NA,0,2,9,14,4,0,1,NA,30
B4.BX,2,B,B,B,4,NA,1,4,13,2,0,0,NA,NA,NA,20
B4.BY,2,B,B,B,4,NA,1,10,3,3,1,0,NA,NA,NA,18
B4.MX,2,B,T,M,4,NA,NA,0,0,0,0,3,0,1,NA,4
B4.MY,2,B,T,M,4,NA,NA,0,2,3,8,7,3,4,NA,27
B4.TX,2,B,T,T,4,NA,NA,2,2,4,4,2,0,NA,NA,14
B4.TY,2,B,T,T,4,NA,NA,0,0,0,1,1,2,NA,NA,4
M3.BY,2,M,B,B,3,NA,2,4,12,1,0,0,NA,NA,NA,19
M3.MX,2,M,B,M,3,NA,1,3,6,1,0,0,NA,NA,NA,11
M3.MY,2,M,B,M,3,NA,NA,1,1,0,0,0,NA,NA,NA,2
M3.TX,2,M,T,T,3,NA,NA,0,0,0,1,5,0,NA,NA,6
M4.BX,2,M,B,B,4,NA,1,5,6,2,0,0,NA,NA,NA,14
M4.BY,2,M,B,B,4,1,NA,1,0,0,0,0,NA,NA,NA,2
M4.MX,2,M,T,M,4,NA,NA,1,6,12,8,2,0,3,NA,32
M4.MY,2,M,B,M,4,NA,NA,0,3,1,0,0,NA,NA,NA,4
M4.TX,2,M,T,T,4,NA,2,1,0,3,3,3,0,2,1,15
M4.TY,2,M,T,T,4,NA,NA,0,0,0,2,0,0,NA,NA,2
T3.BX,2,T,B,B,3,NA,NA,0,1,0,1,0,NA,NA,NA,2
T3.BY,2,T,B,B,3,NA,2,3,10,5,4,1,1,2,NA,28
T3.MX,2,T,B,M,3,NA,NA,2,7,1,0,2,1,3,1,17
T3.MY,2,T,B,M,3,NA,2,1,2,0,0,0,NA,NA,NA,5
T3.TX,2,T,T,T,3,NA,NA,0,3,6,4,1,0,NA,NA,14
T3.TY,2,T,T,T,3,NA,NA,0,0,0,2,1,1,4,2,10
T4.BX,2,T,B,B,4,NA,NA,2,5,1,2,1,0,NA,NA,11
T4.BY,2,T,B,B,4,NA,6,14,8,4,1,1,0,NA,NA,34
T4.MX,2,T,T,M,4,NA,NA,0,2,6,6,1,0,NA,NA,15
T4.MY,2,T,T,M,4,NA,NA,0,0,1,10,0,0,NA,NA,11
T4.TX,2,T,T,T,4,NA,NA,0,0,1,0,2,2,1,NA,6
T4.TY,2,T,T,T,4,NA,NA,0,0,3,1,2,0,NA,NA,6
B3.BX,3,B,B,B,3,NA,4,5,2,0,0,0,NA,NA,NA,11
B3.MX,3,B,T,M,3,NA,NA,0,0,0,5,6,1,1,NA,13
B3.MY,3,B,B,M,3,NA,NA,1,5,2,0,0,NA,NA,NA,8
B3.TX,3,B,T,T,3,NA,NA,0,0,3,3,2,1,NA,NA,9
B3.TY,3,B,T,T,3,NA,NA,0,0,1,3,3,0,NA,NA,7
B4.BX,3,B,B,B,4,NA,NA,1,15,5,0,0,NA,NA,NA,21
B4.BY,3,B,B,B,4,NA,NA,0,10,2,1,0,NA,NA,NA,13
B4.MX,3,B,B,M,4,NA,NA,1,8,8,0,0,NA,NA,NA,17
B4.TX,3,B,T,T,4,NA,NA,0,1,0,1,2,1,NA,NA,5
B4.TY,3,B,T,T,4,NA,NA,0,0,3,1,4,0,NA,NA,8
M3.BX,3,M,B,B,3,1,3,1,10,4,0,0,NA,NA,NA,19
M3.BY,3,M,B,B,3,NA,1,3,11,2,0,0,NA,NA,NA,17
M3.TX,3,M,T,T,3,NA,NA,0,1,1,1,0,0,NA,NA,3
M3.TY,3,M,T,T,3,NA,NA,0,0,3,10,4,1,NA,NA,18
M4.BX,3,M,B,B,4,NA,NA,1,1,0,2,0,NA,NA,NA,4
M4.BY,3,M,B,B,4,NA,1,4,5,1,1,0,NA,NA,NA,12
M4.MX,3,M,B,M,4,NA,NA,3,6,4,0,0,NA,NA,NA,13
M4.MY,3,M,T,M,4,NA,NA,0,0,4,3,5,3,1,NA,16
M4.TX,3,M,T,T,4,NA,NA,0,1,2,3,1,0,NA,NA,7
M4.TY,3,M,T,T,4,NA,NA,0,0,3,4,11,4,2,NA,24
T3.BX,3,T,B,B,3,NA,NA,2,0,0,0,0,NA,NA,NA,2
T3.BY,3,T,B,B,3,NA,NA,0,7,9,1,0,NA,NA,NA,17
T3.MX,3,T,T,M,3,NA,NA,0,1,5,12,13,0,3,NA,34
T3.MY,3,T,T,M,3,NA,NA,1,0,1,5,12,2,1,NA,22
T3.TX,3,T,T,T,3,NA,NA,0,0,4,11,6,3,NA,NA,24
T3.TY,3,T,T,T,3,NA,NA,0,0,2,7,3,3,NA,NA,15
T4.BX,3,T,B,B,4,NA,NA,1,2,3,0,0,NA,NA,NA,6
T4.BY,3,T,B,B,4,NA,NA,2,2,1,0,0,NA,NA,NA,5
T4.MX,3,T,B,M,4,NA,1,1,1,0,0,0,NA,NA,NA,3
T4.MY,3,T,B,M,4,1,1,1,0,0,0,0,NA,NA,NA,3
T4.TX,3,T,T,T,4,NA,NA,0,1,3,5,8,4,NA,NA,21
T4.TY,3,T,T,T,4,NA,NA,0,0,6,6,5,3,NA,NA,20
B3.BX,4,B,B,B,3,NA,NA,12,17,9,0,0,NA,NA,NA,38
B3.BY,4,B,B,B,3,NA,NA,7,1,1,0,0,NA,NA,NA,9
B3.MX,4,B,B,M,3,NA,NA,3,6,3,1,0,NA,NA,NA,13
B3.MY,4,B,T,M,3,NA,NA,0,5,10,12,5,0,NA,NA,32
B3.TY,4,B,T,T,3,NA,NA,0,0,0,3,2,0,NA,NA,5
B4.BX,4,B,B,B,4,NA,NA,6,7,6,0,0,NA,NA,NA,19
B4.BY,4,B,B,B,4,NA,NA,3,2,2,0,1,0,NA,NA,8
B4.MX,4,B,T,M,4,NA,NA,0,1,2,2,3,0,1,NA,9
B4.MY,4,B,T,M,4,NA,NA,0,2,5,17,6,0,4,NA,34
B4.TX,4,B,T,T,4,NA,NA,0,0,3,11,4,0,1,NA,19
B4.TY,4,B,T,T,4,NA,NA,0,0,1,1,0,0,NA,NA,2
M3.BX,4,M,B,B,3,NA,NA,2,9,7,1,0,NA,NA,NA,19
M3.BY,4,M,B,B,3,NA,NA,3,3,0,1,1,0,NA,NA,8
M3.MX,4,M,T,M,3,NA,NA,0,2,1,5,3,0,NA,NA,11
M3.TX,4,M,T,T,3,NA,NA,0,1,7,8,4,1,NA,NA,21
M3.TY,4,M,T,T,3,NA,NA,0,2,0,1,1,2,1,NA,7
M4.BX,4,M,B,B,4,NA,NA,8,10,6,0,0,NA,NA,NA,24
M4.BY,4,M,B,B,4,NA,NA,7,4,6,1,0,NA,NA,NA,18
M4.MX,4,M,T,M,4,NA,NA,0,0,3,2,4,0,4,NA,13
M4.MY,4,M,B,M,4,NA,NA,1,2,0,0,0,NA,NA,NA,3
M4.TX,4,M,T,T,4,NA,NA,0,0,0,5,3,1,2,NA,11
M4.TY,4,M,T,T,4,NA,NA,0,0,2,3,2,3,NA,NA,10
T3.BX,4,T,B,B,3,NA,NA,4,2,1,1,0,NA,NA,NA,8
T3.BY,4,T,B,B,3,NA,NA,5,5,3,1,0,NA,NA,NA,14
T3.MX,4,T,B,M,3,NA,NA,3,4,2,0,1,0,NA,NA,10
T3.MY,4,T,B,M,3,NA,NA,4,5,0,0,0,NA,NA,NA,9
T3.TX,4,T,T,T,3,NA,NA,0,0,0,1,6,3,1,NA,11
T3.TY,4,T,T,T,3,NA,NA,2,0,4,9,4,0,NA,NA,19
T4.BX,4,T,B,B,4,NA,NA,12,9,8,1,1,1,1,NA,33
T4.BY,4,T,B,B,4,NA,NA,3,6,4,0,0,NA,NA,NA,13
T4.MX,4,T,T,M,4,NA,NA,1,0,9,7,4,0,NA,NA,21
T4.MY,4,T,T,M,4,NA,NA,0,6,15,4,1,3,2,NA,31
T4.TX,4,T,T,T,4,NA,NA,0,0,5,1,1,0,NA,NA,7
T4.TY,4,T,T,T,4,NA,NA,0,3,7,3,1,0,NA,NA,14
B3.BX,5,B,B,B,3,NA,NA,0,4,1,1,0,NA,NA,NA,6
B3.BY,5,B,B,B,3,NA,NA,2,6,2,1,0,NA,NA,NA,11
B3.MX,5,B,T,M,3,NA,NA,0,0,2,0,0,1,NA,NA,3
B3.MY,5,B,B,M,3,NA,NA,8,17,5,0,1,NA,NA,NA,31
B3.TX,5,B,T,T,3,NA,NA,0,1,1,3,7,4,1,NA,17
B3.TY,5,B,T,T,3,NA,NA,4,0,1,6,1,0,NA,NA,12
B4.BX,5,B,B,B,4,NA,NA,3,4,6,0,0,NA,NA,NA,13
B4.BY,5,B,B,B,4,NA,NA,4,3,3,0,1,0,NA,NA,11
B4.MX,5,B,B,M,4,NA,NA,2,4,1,0,0,NA,NA,NA,7
B4.MY,5,B,B,M,4,NA,NA,0,2,0,0,0,NA,NA,NA,2
B4.TX,5,B,T,T,4,NA,NA,0,0,2,4,0,0,NA,NA,6
B4.TY,5,B,T,T,4,NA,NA,0,0,4,0,0,0,NA,NA,4
M3.BX,5,M,B,B,3,NA,NA,1,3,3,1,0,NA,NA,NA,8
M3.BY,5,M,B,B,3,NA,NA,2,4,3,1,1,0,NA,NA,11
M3.TX,5,M,T,T,3,NA,NA,0,0,0,1,4,0,2,NA,7
M3.TY,5,M,T,T,3,NA,NA,0,0,6,8,3,1,NA,NA,18
M4.BY,5,M,B,B,4,NA,NA,0,5,4,0,0,NA,NA,NA,9
M4.MY,5,M,T,M,4,NA,NA,0,5,1,0,1,0,NA,NA,7
M4.TX,5,M,T,T,4,NA,NA,0,0,3,9,4,2,1,NA,19
M4.TY,5,M,T,T,4,NA,NA,0,0,18,11,9,5,1,NA,44
T3.BX,5,T,B,B,3,NA,NA,0,2,1,0,0,NA,NA,NA,3
T3.BY,5,T,B,B,3,NA,NA,1,4,1,1,0,NA,NA,NA,7
T3.MX,5,T,T,M,3,NA,NA,0,0,4,6,3,0,NA,NA,13
T3.MY,5,T,T,M,3,NA,NA,0,0,2,2,1,0,4,NA,9
T3.TX,5,T,T,T,3,NA,NA,8,0,8,2,4,2,1,NA,25
T3.TY,5,T,T,T,3,NA,NA,0,1,6,2,3,0,2,NA,14
T4.BX,5,T,B,B,4,1,NA,6,4,0,1,0,NA,NA,NA,12
T4.BY,5,T,B,B,4,NA,NA,1,3,3,0,3,0,NA,NA,10
T4.MX,5,T,T,M,4,NA,NA,0,0,1,2,0,1,1,NA,5
T4.MY,5,T,B,M,4,NA,NA,7,6,7,2,1,0,NA,NA,23
T4.TX,5,T,T,T,4,NA,NA,0,1,2,1,7,0,1,NA,12
T4.TY,5,T,T,T,4,NA,NA,0,0,10,9,3,1,1,NA,24
B3.BX,6,B,B,B,3,NA,NA,1,3,3,4,4,1,NA,NA,16
B3.BY,6,B,B,B,3,NA,2,1,7,2,0,0,NA,NA,NA,12
B3.MX,6,B,B,M,3,NA,NA,4,3,4,0,0,NA,NA,NA,11
B3.MY,6,B,T,M,3,NA,NA,0,2,2,6,9,0,1,NA,20
B3.TX,6,B,T,T,3,NA,NA,0,0,3,6,3,0,NA,NA,12
B4.BX,6,B,B,B,4,NA,NA,5,11,15,2,1,0,NA,NA,34
B4.BY,6,B,B,B,4,NA,NA,0,3,6,6,2,1,NA,NA,18
B4.MX,6,B,T,M,4,NA,NA,0,0,2,6,3,1,NA,NA,12
B4.MY,6,B,T,M,4,NA,NA,0,0,2,2,4,2,1,NA,11
B4.TX,6,B,T,T,4,NA,NA,0,0,0,0,1,1,NA,NA,2
B4.TY,6,B,T,T,4,NA,NA,0,0,0,0,4,0,NA,NA,4
M3.BX,6,M,B,B,3,NA,NA,1,5,1,0,0,NA,NA,NA,7
M3.BY,6,M,B,B,3,NA,NA,3,12,6,2,1,NA,NA,NA,24
M3.MX,6,M,T,M,3,NA,NA,0,3,0,17,9,0,2,NA,31
M3.MY,6,M,T,M,3,NA,NA,0,4,10,17,5,0,NA,NA,36
M3.TX,6,M,T,T,3,NA,NA,0,0,0,0,1,1,1,NA,3
M3.TY,6,M,T,T,3,NA,NA,0,1,0,3,1,0,NA,NA,5
M4.BX,6,M,B,B,4,NA,1,4,15,7,0,0,NA,NA,NA,27
M4.BY,6,M,B,B,4,NA,3,3,3,2,0,1,NA,NA,NA,12
M4.MX,6,M,T,M,4,NA,NA,0,0,0,2,5,1,1,NA,9
M4.TY,6,M,T,T,4,NA,NA,0,0,0,1,2,0,NA,NA,3
T3.BX,6,T,B,B,3,NA,5,3,3,1,0,0,NA,NA,NA,12
T3.BY,6,T,B,B,3,NA,NA,0,2,4,1,0,NA,NA,NA,7
T3.MX,6,T,B,M,3,NA,3,2,0,1,0,0,NA,NA,NA,6
T3.MY,6,T,B,M,3,NA,NA,0,1,1,0,0,NA,NA,NA,2
T3.TX,6,T,T,T,3,NA,NA,0,1,2,3,5,1,NA,NA,12
T3.TY,6,T,T,T,3,NA,NA,0,0,0,1,5,2,NA,NA,8
T4.BX,6,T,B,B,4,NA,NA,0,1,0,0,1,0,NA,NA,2
T4.BY,6,T,B,B,4,NA,NA,0,1,1,2,1,1,NA,NA,6
T4.MX,6,T,B,M,4,NA,2,3,7,4,1,1,NA,NA,NA,18
T4.MY,6,T,T,M,4,NA,NA,0,0,1,3,3,1,1,NA,9
T4.TX,6,T,T,T,4,NA,NA,0,1,14,3,3,0,NA,NA,21
T4.TY,6,T,T,T,4,NA,NA,0,0,2,1,2,0,NA,NA,5
